id	CISD1 Expression
GSM1539186_treat	8.199908
GSM1539187_treat	7.859214
GSM1539188_treat	7.98961
GSM1539189_treat	7.931451
GSM1539190_treat	7.628862
GSM1539191_treat	8.508589
GSM1539192_treat	7.754732
GSM1539193_treat	7.945443
GSM1539194_treat	8.281559
GSM1539195_treat	8.013212
GSM1539196_treat	8.427978
GSM1539197_treat	7.863697
GSM1539198_treat	8.038153
GSM1539199_treat	8.42919
GSM1539200_treat	7.708884
GSM1539201_treat	7.976007
GSM1539202_treat	7.908136
GSM1539203_treat	7.760349
GSM1539204_treat	7.912181
GSM1539205_treat	7.988828
GSM1539206_treat	8.029761
GSM1539207_treat	8.115822
GSM1539208_treat	8.246012
GSM1539209_treat	7.909622
GSM1539210_treat	8.188022
GSM1539211_treat	7.639892
GSM1539212_treat	8.33171
GSM1539213_treat	7.988447
GSM1539214_treat	8.016042
GSM1539215_treat	8.192799
GSM1539216_treat	8.63585
GSM1539217_treat	8.033483
GSM1539218_treat	7.901948
GSM1539219_treat	8.559214
GSM1539220_treat	7.885868
GSM1539221_treat	8.068421
GSM1539222_treat	8.20226
GSM1539223_treat	8.674833
GSM1539224_treat	8.072644
GSM1539225_treat	8.148412
GSM1539226_treat	8.795816
GSM1539227_treat	8.160831
GSM1539228_treat	7.987665
GSM1539229_treat	8.109373
GSM1539230_treat	8.107173
GSM1539231_treat	7.991142
GSM1539232_treat	7.773621
GSM1539233_treat	8.092752
GSM1539234_treat	7.814427
GSM1539235_treat	8.265081
GSM1539236_treat	8.136205
GSM1539237_treat	7.973675
GSM1539238_treat	7.742645
GSM1539239_treat	8.156229
GSM1539240_treat	7.747844
GSM1539241_treat	7.850671
GSM1539242_treat	7.976007
GSM1539243_treat	7.837934
GSM1539244_treat	7.661322
GSM1539245_treat	8.552528
GSM1539246_treat	8.312448
GSM1539247_treat	7.908136
GSM1539248_treat	8.169337
GSM1539249_treat	8.491338
GSM1539250_treat	8.135775
GSM1539251_treat	8.471796
GSM1539252_treat	8.126504
GSM1539253_treat	8.344767
GSM1539254_treat	8.109373
GSM1539255_treat	8.696822
GSM1539256_treat	8.432234
GSM1539257_treat	7.785278
GSM1539258_treat	7.805233
GSM1539259_treat	8.024889
GSM1539260_treat	7.932178
GSM1539261_treat	7.903368
GSM1539262_treat	8.113062
GSM1539263_treat	7.812433
GSM1539264_treat	7.599117
GSM1539265_treat	8.206649
GSM1539266_treat	8.178525
GSM1539267_treat	8.312448
GSM1539268_treat	8.195651
GSM1539269_treat	8.26866
GSM1539270_treat	8.530231
GSM1539271_treat	8.082816
GSM1539272_treat	8.059204
GSM1539273_treat	8.019255
GSM1539274_treat	8.216172
GSM1539275_treat	8.126948
GSM1539276_treat	7.858559
GSM1539277_treat	8.035152
GSM1539278_treat	7.780895
GSM1539279_treat	7.837271
GSM1539280_treat	8.098902
