ID,Type,CISD1,HSBP1,PGD,GSS,GCLM,PEBP1,CS
GSM1539119_con,Normal,8.795816,8.706207,10.501995,7.314575,7.269242,8.38594,8.562655
GSM1539120_con,Normal,8.699967,9.035012,10.235847,7.127705,7.232673,8.533798,8.610914
GSM1539121_con,Normal,8.325783,8.747281,9.971817,7.505986,7.348975,7.968376,8.584417
GSM1539122_con,Normal,8.626391,8.784318,10.328776,7.253972,7.24741,7.980878,8.542854
GSM1539123_con,Normal,8.650741,9.005201,10.129801,7.270759,7.216582,7.850519,8.743702
GSM1539124_con,Normal,7.969329,8.735718,10.893599,7.259012,7.319545,8.248356,8.479329
GSM1539125_con,Normal,8.484436,8.87849,10.401653,7.322138,7.462246,8.052308,8.774562
GSM1539126_con,Normal,8.272652,8.981931,10.675192,7.250101,7.56876,7.887925,8.537875
GSM1539127_con,Normal,8.324743,8.62582,10.841481,7.32603,7.22908,8.336174,8.663892
GSM1539128_con,Normal,8.477405,8.645279,10.809503,7.174556,7.19571,8.222111,8.458698
GSM1539129_con,Normal,8.413184,9.035012,10.51993,7.33829,7.312664,8.045063,8.8094
GSM1539130_con,Normal,8.223347,8.659995,10.922535,7.153443,7.339284,8.036294,8.429102
GSM1539131_con,Normal,8.218161,9.018006,11.021147,7.499686,7.404154,7.683781,9.006867
GSM1539132_con,Normal,8.820404,9.095743,10.167902,7.394677,7.384183,8.012891,8.56574
GSM1539133_con,Normal,8.522297,8.902828,10.553095,7.426772,7.435221,7.848176,8.699556
GSM1539134_con,Normal,8.523645,8.781873,10.116838,7.261322,7.275574,8.468909,8.585451
GSM1539135_con,Normal,8.939007,9.310204,10.516291,7.498025,7.308253,7.999762,8.670083
GSM1539136_con,Normal,8.46733,8.982929,10.917823,7.298765,7.444004,7.94699,8.672371
GSM1539137_con,Normal,8.474919,9.179314,10.316996,7.599958,7.572498,7.64011,8.58286
GSM1539138_con,Normal,8.077258,8.533412,10.81412,7.455344,7.222531,8.390296,8.83265
GSM1539139_con,Normal,8.290714,9.251203,10.411171,7.427792,7.30144,7.970602,8.468227
GSM1539140_con,Normal,8.660896,9.006137,10.331877,7.123655,7.349152,8.265791,8.526335
GSM1539141_con,Normal,8.102353,8.640226,10.477404,7.199486,7.398446,8.380891,8.391038
GSM1539142_con,Normal,8.403687,8.783496,10.53817,7.431548,7.222954,8.121168,8.619219
GSM1539143_con,Normal,8.216652,8.949724,10.495007,7.283601,7.196882,7.871274,8.842422
GSM1539144_con,Normal,7.934709,8.867045,10.411171,7.280812,7.302563,8.254655,8.619766
GSM1539145_con,Normal,8.055891,8.568024,10.36995,7.421683,7.148654,8.303659,8.846869
GSM1539146_con,Normal,8.329521,8.602918,10.111506,7.233502,7.353685,8.487373,8.566241
GSM1539147_con,Normal,8.11077,8.823404,10.723907,7.506545,7.468344,7.68901,8.758306
GSM1539148_con,Normal,7.831894,8.32263,10.796025,7.288093,7.229802,8.280246,8.850739
GSM1539149_con,Normal,8.127846,8.720492,10.687043,7.577351,7.218071,8.033127,8.764282
GSM1539150_con,Normal,7.924507,8.446923,10.659569,7.376176,7.190674,8.254336,8.797089
GSM1539151_con,Normal,8.083258,8.43987,10.643384,7.279598,7.29867,8.2498,8.618204
GSM1539152_con,Normal,7.992796,8.494121,10.46388,7.286807,7.244517,8.118915,8.624146
GSM1539153_con,Normal,7.843923,9.006137,11.071314,7.406006,7.28471,7.7152,8.755851
GSM1539154_con,Normal,7.705353,8.61974,11.344153,7.25729,7.383234,7.977696,8.519668
GSM1539155_con,Normal,8.350234,8.615625,10.769603,7.53833,7.296889,8.551825,8.743702
GSM1539156_con,Normal,8.270694,8.248981,10.728177,7.401971,7.345862,8.865046,8.730353
GSM1539157_con,Normal,8.090622,8.610359,10.267391,7.48879,7.385111,8.390296,8.563172
GSM1539158_con,Normal,7.940901,8.620422,10.723907,7.301255,7.288289,7.790369,8.847485
GSM1539159_con,Normal,8.319994,8.350339,10.296573,7.423974,7.301276,8.243787,8.690409
GSM1539160_con,Normal,8.59341,8.796365,10.553095,7.270562,7.285667,8.159745,8.733252
GSM1539161_con,Normal,8.56193,8.959007,10.579431,7.237409,7.299467,8.024814,8.436081
GSM1539162_con,Normal,8.530869,9.126551,10.498606,7.242165,7.141686,7.892211,8.598186
GSM1539163_con,Normal,8.622188,9.336278,10.530914,7.400324,7.287042,7.763523,8.799567
GSM1539164_con,Normal,8.594812,9.031042,10.957142,7.405029,7.214232,7.757302,9.015072
GSM1539165_con,Normal,8.517731,8.860183,10.57565,7.479313,7.393423,7.920807,8.697802
GSM1539166_con,Normal,8.551862,8.905568,10.553095,7.324974,7.32627,7.966436,8.635971
GSM1539167_con,Normal,7.923811,8.592156,11.037605,7.44862,7.347075,7.967524,8.649057
GSM1539168_con,Normal,8.217148,8.810248,10.229941,7.34297,7.269393,8.381566,8.61266
GSM1539169_con,Normal,8.440599,9.020007,10.44068,7.472974,7.276338,8.063968,8.730931
GSM1539170_con,Normal,8.401958,8.848449,10.305015,7.363811,7.465409,7.953923,8.827596
GSM1539171_con,Normal,7.885505,8.379938,10.942106,7.553409,7.332552,8.200415,8.979525
GSM1539172_con,Normal,7.997987,8.211603,11.148797,7.275796,7.201662,8.555562,8.6645
GSM1539173_con,Normal,8.010799,8.661427,10.659569,7.195811,7.19715,8.237913,8.610368
GSM1539174_con,Normal,8.052568,8.493506,10.553095,7.219618,7.137816,8.29031,8.63648
GSM1539175_con,Normal,8.392557,8.492849,10.14332,7.085034,7.481893,8.465505,8.577535
GSM1539176_con,Normal,8.104519,8.646627,10.325973,7.381352,7.169217,8.478883,8.614282
GSM1539177_con,Normal,8.526204,8.769943,10.114301,7.226296,7.361925,8.161603,8.623601
GSM1539178_con,Normal,8.044288,8.631333,10.453713,7.165889,7.267558,8.663346,8.357902
GSM1539179_con,Normal,7.618864,8.510907,10.827732,7.298765,7.261285,7.9696,8.700138
GSM1539180_con,Normal,7.820356,8.582898,11.054571,7.511291,7.047171,7.870376,8.980929
GSM1539181_con,Normal,8.123333,8.566168,10.740661,7.078706,7.218363,8.142718,8.469192
GSM1539182_con,Normal,8.118955,8.638898,10.25292,7.223303,7.148888,8.326387,8.567271
GSM1539183_con,Normal,8.276322,8.639559,10.447076,7.214381,7.241484,8.591143,8.463432
GSM1539184_con,Normal,7.949309,8.464322,10.57565,7.263467,7.098038,8.320766,8.648498
GSM1539185_con,Normal,8.030566,8.777122,10.957142,7.499953,7.368346,7.864478,8.783718
GSM1539331_con,Normal,8.182264,9.059293,10.392166,7.227989,7.410562,7.799457,9.055325
GSM1539332_con,Normal,8.458437,9.349752,10.609198,7.532716,7.384183,7.369664,8.792226
GSM1539333_con,Normal,8.438097,8.865352,10.516291,7.194198,7.198496,7.903698,8.564206
GSM1539334_con,Normal,7.997177,8.299963,11.083133,7.270361,7.354174,8.471581,8.726794
GSM1539335_con,Normal,7.76219,8.271373,10.983223,7.278607,7.221853,7.943179,8.726199
GSM1539336_con,Normal,8.436885,8.80692,10.127112,7.27277,7.218363,8.333485,8.606086
GSM1539337_con,Normal,8.034728,8.713662,10.740661,7.406245,7.283462,8.315841,8.854611
GSM1539338_con,Normal,8.258545,8.970607,10.385615,7.195265,7.192917,8.094402,8.522752
GSM1539339_con,Normal,8.164524,8.705481,10.827732,7.383922,7.206617,8.044827,8.587584
GSM1539340_con,Normal,8.068829,8.760361,10.624383,7.372968,7.240471,7.877719,8.783117
GSM1539341_con,Normal,8.346896,8.62582,10.344457,7.160653,7.126895,8.222111,8.606086
GSM1539342_con,Normal,8.536168,8.640226,9.980811,7.190917,7.243234,8.389936,8.58286
GSM1539343_con,Normal,8.572081,8.89319,10.090011,7.314977,7.143314,8.394892,8.448317
GSM1539344_con,Normal,8.71467,8.60359,10.232871,7.193691,7.241193,8.771208,8.570321
GSM1539345_con,Normal,8.452772,8.634734,10.474121,7.233699,7.058092,8.607504,8.769073
GSM1539346_con,Normal,8.057583,8.611062,10.53817,7.399077,7.265755,8.453536,8.775201
GSM1539347_con,Normal,8.414339,8.567403,10.212992,7.253972,7.064775,8.629702,8.689312
GSM1539348_con,Normal,8.84449,8.851689,10.111506,7.339624,7.320537,8.389936,8.559643
GSM1539349_con,Normal,7.952338,8.671733,10.841481,7.358774,7.312664,8.418596,8.722097
GSM1539350_con,Normal,8.22675,8.497233,10.736597,7.479577,7.312493,8.485056,8.580234
GSM1539351_con,Normal,8.089745,8.837592,10.893599,7.448873,7.174997,7.9028,8.837214
GSM1539352_con,Normal,8.154377,8.846817,10.353782,7.332365,7.299142,7.869861,8.617101
