ID	Type	CISD1	G6PD	AKR1C3	HSBP1	ALOX5	ACO1	PHKG2	PGD	GSS	STEAP3	GCLM	PEBP1	CBS	AIFM2	ALOX12	ABCC1	KEAP1	CS
GSM1539119_con	Normal	8.795816	8.273098	8.238499	8.706207	8.540995	7.301146	7.237659	10.501995	7.314575	6.760666	7.269242	8.38594	6.888328	6.727363	7.306877	6.765464	7.483634	8.562655
GSM1539120_con	Normal	8.699967	8.194936	7.897531	9.035012	8.60437	7.478337	7.215443	10.235847	7.127705	6.725173	7.232673	8.533798	7.184849	6.702617	7.316006	6.777152	7.300943	8.610914
GSM1539121_con	Normal	8.325783	8.236834	8.105612	8.747281	8.577156	7.545336	7.259039	9.971817	7.505986	6.688136	7.348975	7.968376	7.113454	6.814376	6.993295	6.760981	7.493011	8.584417
GSM1539122_con	Normal	8.626391	8.220537	8.185611	8.784318	8.667452	7.610433	7.09958	10.328776	7.253972	6.675609	7.24741	7.980878	6.975176	6.751035	7.669748	6.756492	7.326599	8.542854
GSM1539123_con	Normal	8.650741	8.012726	7.832104	9.005201	8.61442	7.437102	6.994591	10.129801	7.270759	6.707308	7.216582	7.850519	6.869509	6.643639	7.341164	6.767811	7.406798	8.743702
GSM1539124_con	Normal	7.969329	8.45379	7.340904	8.735718	8.8874	7.574785	7.228999	10.893599	7.259012	6.87157	7.319545	8.248356	7.040389	6.686571	7.545907	6.702248	7.266443	8.479329
GSM1539125_con	Normal	8.484436	8.496072	8.186605	8.87849	8.759781	7.803174	7.190447	10.401653	7.322138	6.804469	7.462246	8.052308	7.251637	6.704083	7.756986	6.781667	7.41728	8.774562
GSM1539126_con	Normal	8.272652	8.413128	7.785483	8.981931	8.919796	7.40468	7.121325	10.675192	7.250101	6.760769	7.56876	7.887925	6.842978	6.735714	7.145087	6.774615	7.247655	8.537875
GSM1539127_con	Normal	8.324743	8.351355	7.861745	8.62582	8.781816	7.483575	7.224943	10.841481	7.32603	6.736425	7.22908	8.336174	7.148851	6.687708	6.995211	6.713885	7.402201	8.663892
GSM1539128_con	Normal	8.477405	8.497488	7.823863	8.645279	8.860512	7.462939	7.210065	10.809503	7.174556	6.786215	7.19571	8.222111	6.907205	6.692044	7.220375	6.812244	7.3209	8.458698
GSM1539129_con	Normal	8.413184	8.329438	8.044753	9.035012	8.699588	7.774328	7.229853	10.51993	7.33829	6.76233	7.312664	8.045063	6.808072	6.693354	7.128043	6.785966	7.487416	8.8094
GSM1539130_con	Normal	8.223347	8.54754	8.323842	8.659995	8.907547	7.411938	7.165034	10.922535	7.153443	6.715248	7.339284	8.036294	7.158095	6.811295	7.186017	6.760634	7.358079	8.429102
GSM1539131_con	Normal	8.218161	8.688077	7.197871	9.018006	8.810447	7.714723	7.269603	11.021147	7.499686	6.88061	7.404154	7.683781	6.893361	6.724133	7.411745	6.788011	7.405918	9.006867
GSM1539132_con	Normal	8.820404	8.017646	8.008302	9.095743	8.558447	7.494048	7.200526	10.167902	7.394677	6.740757	7.384183	8.012891	6.942001	6.712181	6.91486	6.84674	7.382879	8.56574
GSM1539133_con	Normal	8.522297	8.249977	7.622476	8.902828	8.822637	7.584747	7.134091	10.553095	7.426772	6.888716	7.435221	7.848176	7.195115	6.714434	7.390447	6.729986	7.480164	8.699556
GSM1539134_con	Normal	8.523645	8.307393	9.513549	8.781873	8.502137	7.497227	7.2793	10.116838	7.261322	6.786935	7.275574	8.468909	6.653412	6.706268	7.18021	6.763678	7.442323	8.585451
GSM1539135_con	Normal	8.939007	8.531759	8.35378	9.310204	8.561216	7.519819	7.408955	10.516291	7.498025	6.71064	7.308253	7.999762	7.354981	6.70157	8.05625	6.707914	7.336089	8.670083
GSM1539136_con	Normal	8.46733	8.526227	8.056307	8.982929	8.804959	7.462503	7.268203	10.917823	7.298765	6.757087	7.444004	7.94699	7.341231	6.692922	7.521227	6.762872	7.390288	8.672371
GSM1539137_con	Normal	8.474919	8.14277	7.586624	9.179314	8.55443	7.341702	7.370441	10.316996	7.599958	6.743859	7.572498	7.64011	7.002637	6.722102	7.253507	6.771671	7.408157	8.58286
GSM1539138_con	Normal	8.077258	8.613578	7.396007	8.533412	8.852658	7.758305	7.429571	10.81412	7.455344	6.708598	7.222531	8.390296	7.081068	6.686556	7.505305	6.76136	7.463066	8.83265
GSM1539139_con	Normal	8.290714	8.205026	8.790676	9.251203	8.544867	7.454956	7.269976	10.411171	7.427792	6.703637	7.30144	7.970602	6.994121	6.733041	7.208152	6.882772	7.350239	8.468227
GSM1539140_con	Normal	8.660896	8.235133	8.873826	9.006137	8.695204	7.355966	7.23496	10.331877	7.123655	6.719665	7.349152	8.265791	6.830768	6.649387	7.069623	6.781806	7.367534	8.526335
GSM1539141_con	Normal	8.102353	8.232926	8.028072	8.640226	8.732598	7.500957	7.421729	10.477404	7.199486	6.768519	7.398446	8.380891	7.066417	6.783226	6.964412	6.837306	7.425286	8.391038
GSM1539142_con	Normal	8.403687	8.154926	7.571291	8.783496	8.656583	7.623964	7.150004	10.53817	7.431548	6.800776	7.222954	8.121168	6.879284	6.75438	6.999085	6.739992	7.382645	8.619219
GSM1539143_con	Normal	8.216652	8.460591	7.675615	8.949724	8.836171	7.802857	7.347698	10.495007	7.283601	6.743284	7.196882	7.871274	7.077827	6.696924	7.888416	6.766831	7.381787	8.842422
GSM1539144_con	Normal	7.934709	8.291228	7.074191	8.867045	8.774666	7.657344	7.34522	10.411171	7.280812	6.796232	7.302563	8.254655	7.115182	6.732798	7.133525	6.762872	7.424124	8.619766
GSM1539145_con	Normal	8.055891	8.453061	7.68201	8.568024	8.723628	7.487851	7.274441	10.36995	7.421683	6.823756	7.148654	8.303659	7.143802	6.684576	7.557117	6.629002	7.452349	8.846869
GSM1539146_con	Normal	8.329521	8.010017	7.64858	8.602918	8.60437	7.586603	7.293416	10.111506	7.233502	6.739918	7.353685	8.487373	6.734363	6.746	7.048183	6.783767	7.339219	8.566241
GSM1539147_con	Normal	8.11077	8.392037	7.361407	8.823404	8.903099	7.592719	7.319636	10.723907	7.506545	6.867091	7.468344	7.68901	6.805392	6.862377	6.863497	6.814622	7.487905	8.758306
GSM1539148_con	Normal	7.831894	8.515823	7.047971	8.32263	8.816446	7.697099	7.242113	10.796025	7.288093	6.802607	7.229802	8.280246	7.385783	6.778345	7.414493	6.910039	7.462362	8.850739
GSM1539149_con	Normal	8.127846	8.596841	7.015243	8.720492	8.783742	7.816368	7.346491	10.687043	7.577351	6.899699	7.218071	8.033127	6.889995	6.773247	7.762384	6.721965	7.358931	8.764282
