ID	m6Acluster
GSM1539439	Control
GSM1539440	Control
GSM1539441	Control
GSM1539442	Control
GSM1539443	Control
GSM1539444	Control
GSM1539445	Control
GSM1539446	Control
GSM1539447	Control
GSM1539448	Control
GSM1539449	Control
GSM1539450	Control
GSM1539451	Control
GSM1539452	Control
GSM1539453	Control
GSM1539454	Control
GSM1539455	Control
GSM1539456	Control
GSM1539457	Control
GSM1539458	Control
GSM1539459	Control
GSM1539460	Control
GSM1539461	Control
GSM1539462	Control
GSM1539463	Control
GSM1539464	Control
GSM1539465	Control
GSM1539466	Control
GSM1539467	Control
GSM1539468	Control
GSM1539469	Control
GSM1539470	Control
GSM1539471	Control
GSM1539472	Control
GSM1539473	Control
GSM1539474	Control
GSM1539475	Control
GSM1539476	Control
GSM1539477	Control
GSM1539478	Control
GSM1539479	Control
GSM1539480	Control
GSM1539481	Control
GSM1539482	Control
GSM1539483	Control
GSM1539484	Control
GSM1539485	Control
GSM1539486	Control
GSM1539487	Control
GSM1539488	Control
GSM1539489	Control
GSM1539490	Control
GSM1539491	Control
GSM1539492	Control
GSM1539493	Control
GSM1539494	Control
GSM1539495	Control
GSM1539496	Control
GSM1539497	Control
GSM1539498	Control
GSM1539499	Control
GSM1539500	Control
GSM1539501	Control
GSM1539502	Control
GSM1539503	Control
GSM1539504	Control
GSM1539505	Control
GSM1539506	Control
GSM1539507	Control
GSM1539508	Control
GSM1539509	Control
GSM1539510	Control
GSM1539552	Control
GSM1539553	Control
GSM1539555	Control
GSM1539569	Control
GSM1539573	Control
GSM1539578	Control
GSM1539580	Control
GSM1539585	Control
GSM1539588	Control
GSM1539595	Control
GSM1539596	Control
GSM1539597	Control
GSM1539600	Control
GSM1539601	Control
GSM1539603	Control
GSM1539605	Control
GSM1539607	Control
GSM1539615	Control
GSM1539617	Control
GSM1539621	Control
GSM1539649	Control
GSM1539651	Control
GSM1539652	Control
GSM1539653	Control
GSM1539655	Control
GSM1539664	Control
GSM1539668	Control
GSM1539670	Control
GSM1539671	Control
GSM1539677	Control
GSM1539685	Control
GSM1539686	Control
GSM1539694	Control
GSM1539696	Control
GSM1539699	Control
GSM1539702	Control
GSM1539704	Control
GSM1539706	Control
GSM1539707	Control
GSM1539709	Control
GSM1539710	Control
GSM1539711	Control
GSM1539712	Control
GSM1539714	Control
