ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006750	glutathione biosynthetic process	2/7	17/18866	1.60066406565886e-05	0.00120713296353221	0.000561210939186028	GSS/GCLM	2
BP	GO:0019184	nonribosomal peptide biosynthetic process	2/7	19/18866	2.01188827255368e-05	0.00120713296353221	0.000561210939186028	GSS/GCLM	2
BP	GO:0042398	cellular modified amino acid biosynthetic process	2/7	49/18866	0.000137629441668713	0.0050197356032185	0.00233373672781211	GSS/GCLM	2
BP	GO:0006749	glutathione metabolic process	2/7	54/18866	0.000167324520107283	0.0050197356032185	0.00233373672781211	GSS/GCLM	2
BP	GO:0043200	response to amino acid	2/7	114/18866	0.000745180982848211	0.0178843435883571	0.00831465096651688	GSS/GCLM	2
BP	GO:0001101	response to acid chemical	2/7	132/18866	0.000997101351306494	0.0199420270261299	0.00927129326653407	GSS/GCLM	2
BP	GO:0045333	cellular respiration	2/7	187/18866	0.00198616745608466	0.0278964953583887	0.0129694232806544	CISD1/CS	2
BP	GO:0006575	cellular modified amino acid metabolic process	2/7	190/18866	0.00204948961311839	0.0278964953583887	0.0129694232806544	GSS/GCLM	2
BP	GO:0044272	sulfur compound biosynthetic process	2/7	192/18866	0.00209223715187916	0.0278964953583887	0.0129694232806544	GSS/GCLM	2
BP	GO:0051351	positive regulation of ligase activity	1/7	10/18866	0.00370507183597324	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0051409	response to nitrosative stress	1/7	10/18866	0.00370507183597324	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0071372	cellular response to follicle-stimulating hormone stimulus	1/7	11/18866	0.00407493100531731	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0015980	energy derivation by oxidation of organic compounds	2/7	278/18866	0.00432686884518144	0.0307414682524947	0.0142920861173879	CISD1/CS	2
BP	GO:0006534	cysteine metabolic process	1/7	12/18866	0.00444467247882374	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0051340	regulation of ligase activity	1/7	12/18866	0.00444467247882374	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0072537	fibroblast activation	1/7	12/18866	0.00444467247882374	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0072350	tricarboxylic acid metabolic process	1/7	14/18866	0.00518380246316708	0.0307414682524947	0.0142920861173879	CS	1
BP	GO:0019321	pentose metabolic process	1/7	15/18866	0.00555319103640883	0.0307414682524947	0.0142920861173879	PGD	1
BP	GO:0007568	aging	2/7	319/18866	0.00565853587359243	0.0307414682524947	0.0142920861173879	GSS/GCLM	2
BP	GO:0006098	pentose-phosphate shunt	1/7	16/18866	0.00592246203862323	0.0307414682524947	0.0142920861173879	PGD	1
