ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05168	Herpes simplex virus 1 infection	81/446	497/8091	9.37801480933553e-20	2.7196242947073e-17	2.31982471599353e-17	ZNF620/ZNF605/ZFP14/ZNF439/ZNF33A/ZNF682/ZNF440/ZNF552/ZNF248/ZNF433/ZNF10/ZNF253/ZNF708/ZNF91/ZNF224/ZNF529/ZNF222/ZNF30/ZNF429/ZNF443/ZNF20/ZNF211/ZNF254/ZNF273/ZNF630/ZNF559/ZNF233/CASP9/ZNF333/SRC/ZNF514/ZNF792/ZNF564/ITGA5/ZNF83/ZNF43/ZNF334/ZNF302/ZNF763/ZNF610/ZNF19/PIK3CD/ZNF561/ZNF160/ZNF780B/ZNF563/FAS/ZNF599/IL6/ZNF615/ZNF441/ZNF785/HLA-DQA1/ZNF571/ZNF577/ZNF223/ZNF404/HLA-DPB1/ZNF573/ZNF709/SOCS3/ZNF177/CCL5/HLA-DMB/HLA-DQB1/ZNF214/HLA-DRA/HLA-F/ZNF320/CCL2/ZNF600/ZNF442/B2M/RNASEL/HLA-A/ZNF546/ZNF528/ZNF226/ZNF200/IRAK1/ZNF707	81
hsa04640	Hematopoietic cell lineage	21/446	99/8091	6.79879725846534e-08	9.85825602477475e-06	8.40903871441766e-06	CD14/IL7R/CSF1R/ITGA5/CD44/CD37/CD7/IL6/CD33/HLA-DQA1/HLA-DPB1/CSF1/EPOR/HLA-DMB/HLA-DQB1/CD3E/ITGAM/CD2/HLA-DRA/CD59/CD8A	21
hsa04145	Phagosome	24/446	152/8091	2.53984674062223e-06	0.00021068659688032	0.000179714520024955	CD14/NCF2/TUBB6/ITGB2/FCGR2A/CYBB/ITGA5/C1R/CD209/NCF1/THBS1/HLA-DQA1/TLR6/HLA-DPB1/HLA-DMB/HLA-DQB1/ITGAM/HLA-DRA/HLA-F/TUBA4A/ITGB5/HLA-A/TUBA1B/TUBB	24
hsa04610	Complement and coagulation cascades	17/446	85/8091	2.90602202593544e-06	0.00021068659688032	0.000179714520024955	C1QA/C1QB/C1QC/F3/ITGB2/PLAUR/C1R/C1S/SERPINA1/PLAU/VSIG4/SERPINE1/BDKRB1/C5AR1/C3AR1/ITGAM/CD59	17
hsa05150	Staphylococcus aureus infection	18/446	96/8091	3.93751471752201e-06	0.000228375853616277	0.000194803359708984	C1QA/C1QB/C1QC/FPR1/ITGB2/FCGR2A/C1R/C1S/KRT20/HLA-DQA1/C5AR1/C3AR1/HLA-DPB1/HLA-DMB/HLA-DQB1/ITGAM/HLA-DRA/ITGAL	18
hsa05133	Pertussis	15/446	76/8091	1.32080834898694e-05	0.000638390702010355	0.000544543793003388	CD14/C1QA/C1QB/C1QC/ITGB2/NLRP3/LY96/ITGA5/C1R/C1S/IRF8/IL6/MAPK11/ITGAM/IRAK1	15
hsa05416	Viral myocarditis	13/446	60/8091	1.73952802023044e-05	0.000720661608381184	0.000614720428201736	CD86/ITGB2/CAV1/CASP9/CXADR/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-F/ITGAL/HLA-A	13
hsa04380	Osteoclast differentiation	20/446	128/8091	2.0489330853087e-05	0.000742738243424405	0.000633551677694138	NCF2/TYROBP/PPARG/SIRPA/SPI1/LILRB3/LCP2/FCGR2A/CSF1R/OSCAR/BTK/PIK3CD/NCF1/LILRA2/MAPK11/CSF1/SOCS3/LILRB1/TREM2/CTSK	20
hsa05323	Rheumatoid arthritis	16/446	93/8091	4.14285514372653e-05	0.00133491999075633	0.00113867948394823	CD86/ITGB2/CCL3/TNFSF13B/IL6/HLA-DQA1/HLA-DPB1/CSF1/CCL5/HLA-DMB/HLA-DQB1/HLA-DRA/CCL2/LTB/CTSK/ITGAL	16
hsa05332	Graft-versus-host disease	10/446	42/8091	6.98761180413129e-05	0.00202640742319807	0.00172851449891669	CD86/FAS/IL6/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-F/HLA-A	10
