ID	m6Acluster
GSM1539186_treat	A
GSM1539187_treat	B
GSM1539188_treat	B
GSM1539189_treat	B
GSM1539190_treat	B
GSM1539191_treat	B
GSM1539192_treat	B
GSM1539193_treat	B
GSM1539194_treat	B
GSM1539195_treat	A
GSM1539196_treat	A
GSM1539197_treat	B
GSM1539198_treat	B
GSM1539199_treat	A
GSM1539200_treat	B
GSM1539201_treat	B
GSM1539202_treat	B
GSM1539203_treat	B
GSM1539204_treat	B
GSM1539205_treat	B
GSM1539206_treat	B
GSM1539207_treat	B
GSM1539208_treat	A
GSM1539209_treat	B
GSM1539210_treat	B
GSM1539211_treat	B
GSM1539212_treat	A
GSM1539213_treat	B
GSM1539214_treat	B
GSM1539215_treat	A
GSM1539216_treat	A
GSM1539217_treat	B
GSM1539218_treat	A
GSM1539219_treat	A
GSM1539220_treat	B
GSM1539221_treat	B
GSM1539222_treat	B
GSM1539223_treat	A
GSM1539224_treat	B
GSM1539225_treat	B
GSM1539226_treat	A
GSM1539227_treat	B
GSM1539228_treat	B
GSM1539229_treat	B
GSM1539230_treat	B
GSM1539231_treat	B
GSM1539232_treat	B
GSM1539233_treat	B
GSM1539234_treat	B
GSM1539235_treat	A
GSM1539236_treat	B
GSM1539237_treat	B
GSM1539238_treat	B
GSM1539239_treat	B
GSM1539240_treat	B
GSM1539241_treat	B
GSM1539242_treat	B
GSM1539243_treat	B
GSM1539244_treat	B
GSM1539245_treat	A
GSM1539246_treat	B
GSM1539247_treat	A
GSM1539248_treat	B
GSM1539249_treat	A
GSM1539250_treat	B
GSM1539251_treat	B
GSM1539252_treat	A
GSM1539253_treat	A
GSM1539254_treat	A
GSM1539255_treat	A
GSM1539256_treat	A
GSM1539257_treat	B
GSM1539258_treat	B
GSM1539259_treat	B
GSM1539260_treat	B
GSM1539261_treat	B
GSM1539262_treat	B
GSM1539263_treat	B
GSM1539264_treat	B
GSM1539265_treat	A
GSM1539266_treat	A
GSM1539267_treat	B
GSM1539268_treat	A
GSM1539269_treat	B
GSM1539270_treat	B
GSM1539271_treat	B
GSM1539272_treat	B
GSM1539273_treat	A
GSM1539274_treat	B
GSM1539275_treat	B
GSM1539276_treat	B
GSM1539277_treat	A
GSM1539278_treat	B
GSM1539279_treat	B
GSM1539280_treat	B
GSM1539281_treat	B
GSM1539282_treat	A
GSM1539283_treat	A
GSM1539284_treat	B
GSM1539285_treat	B
GSM1539286_treat	B
GSM1539287_treat	B
GSM1539288_treat	B
GSM1539289_treat	A
GSM1539290_treat	A
GSM1539291_treat	B
GSM1539292_treat	B
GSM1539293_treat	B
GSM1539294_treat	A
GSM1539295_treat	B
GSM1539296_treat	B
GSM1539297_treat	B
GSM1539298_treat	B
GSM1539299_treat	B
GSM1539300_treat	A
GSM1539301_treat	B
GSM1539302_treat	B
GSM1539303_treat	B
GSM1539304_treat	B
GSM1539305_treat	B
GSM1539306_treat	B
GSM1539307_treat	B
GSM1539308_treat	A
GSM1539309_treat	A
GSM1539310_treat	B
GSM1539311_treat	A
GSM1539312_treat	B
GSM1539313_treat	B
GSM1539314_treat	B
GSM1539315_treat	B
GSM1539316_treat	B
GSM1539317_treat	B
GSM1539318_treat	B
GSM1539319_treat	B
GSM1539320_treat	B
GSM1539321_treat	B
GSM1539322_treat	B
GSM1539323_treat	B
GSM1539324_treat	A
GSM1539325_treat	B
GSM1539326_treat	B
GSM1539327_treat	B
GSM1539328_treat	B
GSM1539329_treat	B
GSM1539330_treat	B
GSM1539080_treat	B
GSM1539081_treat	B
GSM1539082_treat	A
GSM1539083_treat	B
GSM1539084_treat	B
GSM1539085_treat	B
GSM1539086_treat	B
GSM1539087_treat	B
GSM1539088_treat	B
GSM1539089_treat	A
GSM1539090_treat	B
GSM1539091_treat	B
GSM1539092_treat	B
GSM1539093_treat	A
GSM1539094_treat	B
GSM1539095_treat	A
GSM1539096_treat	B
GSM1539097_treat	A
GSM1539098_treat	B
GSM1539099_treat	B
GSM1539100_treat	B
GSM1539101_treat	A
GSM1539102_treat	B
GSM1539103_treat	A
GSM1539104_treat	B
GSM1539105_treat	B
GSM1539106_treat	B
GSM1539107_treat	B
GSM1539108_treat	B
GSM1539109_treat	B
GSM1539110_treat	B
GSM1539111_treat	B
GSM1539112_treat	A
GSM1539113_treat	A
GSM1539114_treat	B
GSM1539115_treat	A
GSM1539116_treat	B
GSM1539117_treat	B
GSM1539118_treat	A
GSM1539368_treat	B
GSM1539369_treat	B
GSM1539370_treat	B
GSM1539371_treat	B
GSM1539372_treat	B
GSM1539373_treat	B
GSM1539374_treat	B
GSM1539375_treat	B
GSM1539376_treat	B
GSM1539377_treat	B
GSM1539378_treat	A
GSM1539379_treat	A
GSM1539380_treat	B
GSM1539381_treat	A
GSM1539382_treat	B
GSM1539383_treat	B
GSM1539384_treat	B
GSM1539385_treat	B
GSM1539386_treat	B
GSM1539387_treat	B
GSM1539388_treat	B
GSM1539389_treat	A
GSM1539390_treat	B
GSM1539391_treat	B
GSM1539392_treat	B
GSM1539393_treat	B
GSM1539394_treat	B
GSM1539395_treat	A
GSM1539396_treat	B
GSM1539397_treat	B
GSM1539398_treat	B
GSM1539399_treat	A
GSM1539400_treat	B
GSM1539401_treat	B
GSM1539402_treat	A
GSM1539403_treat	B
GSM1539404_treat	A
GSM1539405_treat	B
GSM1539406_treat	A
GSM1539407_treat	B
GSM1539408_treat	B
GSM1539511_treat	B
GSM1539512_treat	A
GSM1539513_treat	B
GSM1539514_treat	A
GSM1539515_treat	B
GSM1539516_treat	A
GSM1539517_treat	B
GSM1539518_treat	B
GSM1539519_treat	B
GSM1539520_treat	B
GSM1539521_treat	B
GSM1539522_treat	B
GSM1539523_treat	B
GSM1539524_treat	B
GSM1539525_treat	B
GSM1539526_treat	B
GSM1539527_treat	A
GSM1539528_treat	B
GSM1539529_treat	B
GSM1539530_treat	B
GSM1539531_treat	B
GSM1539532_treat	A
GSM1539533_treat	B
GSM1539534_treat	B
GSM1539535_treat	B
GSM1539536_treat	B
GSM1539537_treat	B
GSM1539538_treat	B
GSM1539539_treat	B
GSM1539540_treat	B
GSM1539541_treat	B
GSM1539542_treat	B
GSM1539543_treat	B
GSM1539544_treat	A
GSM1539545_treat	B
GSM1539546_treat	B
GSM1539547_treat	B
GSM1539548_treat	B
GSM1539549_treat	B
GSM1539550_treat	B
GSM1539554_treat	B
GSM1539560_treat	A
GSM1539562_treat	B
GSM1539563_treat	B
GSM1539570_treat	B
GSM1539571_treat	A
GSM1539575_treat	B
GSM1539576_treat	B
GSM1539577_treat	B
GSM1539579_treat	B
GSM1539581_treat	A
GSM1539582_treat	B
