id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM1539080_treat	0	0.037825251	0	0.124550791	0.162791589	0	0	0	0.059601576	0	0.12556325	0	0.304477949	0.016632694	0	0	0	0.002841826	0	0.023401179	0	0.142313896
GSM1539081_treat	0	0.025336293	0	0.097331622	0.044385234	0.049779091	0	0	0.037641571	0	0.101018647	0.066486643	0.291986223	0.043696591	0	0	0	0.004921271	0	0.034615826	0	0.202800988
GSM1539082_treat	0.002298848	0.051722994	0	0.131584415	0.160914599	0	0	0	0.070967984	0	0.112826798	0.055880228	0.197051224	0.013294388	0	0	0	0.002012337	0	0.0370478	0	0.164398386
GSM1539083_treat	0	0.028991869	0	0.140931446	0.244297882	0	0	0	0.06038893	0.005216005	0.072355619	0.036025298	0.208369115	0.022165318	0	0	0	0.002845642	0	0.044788341	0	0.133624534
GSM1539084_treat	0	0.063087679	0	0.066905594	0.144321288	0.003295848	0	0	0.113059571	0	0.10399607	0	0.220163174	0.050958907	0	0	0	0.014472203	0	0.02309316	0	0.196646505
GSM1539085_treat	0.000115748	0.034402375	0	0.151914237	0.175568681	0	0.012792217	0	0.077175646	0	0.124049157	0.03149147	0.177043071	0.032731691	0	0	0	0.0065879	0	0.016434698	0	0.159693111
GSM1539086_treat	0.002206943	0.053590417	0	0.143256225	0.192468921	0	0.018063178	0	0.041453116	0	0.145812144	0.007313322	0.250188988	0.018195875	0	0	0	0.007643136	0	0.016582874	0	0.103224862
GSM1539087_treat	0.001861216	0.040108676	0	0.094025557	0.173962136	0	0.006533491	0	0.061118349	0.024631908	0.056955399	0.000142172	0.326297186	0.038163681	0	0	0	0.007122427	0	0.011176248	0	0.157901554
GSM1539088_treat	0	0.033940858	0	0.15211926	0.245580576	0	0	0	0.095207332	0	0.164254459	0	0.175448802	0.016638205	0	0	0	0.000657616	0	0.010204742	0	0.10594815
GSM1539089_treat	0	0.031909071	0	0.130432852	0.236115904	0	0.003113615	0	0.034905869	0	0.096605607	0.043251569	0.19258666	0.022728326	0	0	0	0.002881073	0	0.049752657	0	0.155716798
GSM1539090_treat	0	0.02720943	0	0.164207362	0.106703595	0	0.009370278	0	0.026716063	0	0.118936979	0.008944795	0.284944752	0.035229986	0	0	0	0	0	0.055700068	0	0.162036692
GSM1539091_treat	0	0.058095259	0	0.12483016	0.23530125	0	0.004875816	0	0.033590871	0	0.109546761	0.025241382	0.211460769	0.01177171	0	0	0	0.007895118	0	0.027009593	0	0.150381311
GSM1539092_treat	0.000242107	0.026667549	0	0.194959273	0.148898034	0	0	0	0.042007804	0	0.122571744	0	0.220142947	0.03731204	0	0	0	0.009191262	0	0.028626013	0	0.169381227
GSM1539093_treat	0.000457761	0.005085831	0	0.182486167	0.119858901	0	0.011931119	0	0.007604385	0.007320486	0.030268191	0.054258125	0.340028274	0.015751255	0	0	0	0.005265214	0	0.007367002	0	0.21231729
GSM1539094_treat	0	0.020584616	0	0.138015843	0.151061823	0	0.001864061	0	0.038467622	0	0.176656345	0.029155888	0.205245701	0.014209127	0	0	0	0.002485923	0	0.01866665	0	0.2035864
GSM1539095_treat	0	0.032475374	0	0.134226178	0.207953761	0	0	0	0.029328224	0	0.159130753	0.030676166	0.250154402	0.02326492	0	0	0	0.008965398	0	0.003121567	0	0.120703257
GSM1539096_treat	0	0.035893372	0	0.174372135	0.235504711	0	0.005424348	0	0.009474189	0	0.124773261	0.030981796	0.227563128	0.033179194	0	0	0	0	0	0.009423687	0	0.113410179
GSM1539097_treat	0	0.05763381	0	0.222035763	0.206487059	0	0	0	0.035481665	0.015269639	0.04911055	0.040557158	0.202433327	0.032665571	0	0	0	0.005132351	0	0.007251496	0	0.125941611
GSM1539098_treat	0	0.023116309	0	0.112063531	0.218909859	0	0.011353998	0	0	0	0.077890169	0.058307489	0.307394221	0.012457234	0	0	0	0.001932082	0	0.001638126	0	0.174936981
GSM1539099_treat	0.00214703	0.010550444	0	0.224408789	0.179111062	0	0.018530398	0	0.031473641	0	0.138498554	0	0.159783348	0.043886316	0	0	0	0.00737097	0	0.004241472	0	0.179997976
GSM1539100_treat	0	0.019427415	0	0.141084925	0.068923202	0	0.008045152	0	0.034479071	0	0.154196628	0.036277463	0.242205348	0.052828203	0	0	0	0	0	0.009862063	0	0.23267053
GSM1539101_treat	0.009529535	0.029534584	0	0.158452518	0.217029894	0	0.010651861	0	0.040837685	0	0.132028173	0.022158008	0.19422046	0.01180343	0	0	0	0.014908112	0	0.004744275	0	0.154101466
GSM1539102_treat	0	0.027882881	0	0.308546456	0.013334631	0	0	0	0.063030685	0	0.18298973	0.018819483	0.186697181	0.035370234	0	0	0	0	0	0.026199416	0	0.137129303
GSM1539103_treat	0	0.010229929	0	0.277847059	0.061725448	0	0.007013407	0	0.023865573	0	0.296377057	0.019589152	0.125168124	0.016912989	0	0	0	0	0	0.002174001	0	0.159097261
GSM1539104_treat	0	0.018198577	0	0.193936655	0.1454038	0	0.00983896	0	0.03759536	0	0.197259407	0	0.198212893	0.042583634	0	0	0	0.007347598	0	0.021890728	0	0.127732387
GSM1539105_treat	0	0.025326157	0	0.110680366	0.179342669	0.034897001	0.020422586	0	0.033221359	0	0.129088921	0.001585644	0.250873826	0	0	0	0	0.000139716	0	0.017971629	0	0.196450126
GSM1539106_treat	0	0.027466542	0	0.208581767	0.073082976	0	0	0	0.057788256	0	0.18503564	0.041476192	0.208731093	0.025924146	0	0	0	0	0	0.013585922	0	0.158327466
GSM1539107_treat	0.006333621	0.021638806	0	0.052553676	0.155619074	0	0.004117983	0	0.087548042	0	0.122403809	0	0.280781503	0.061521193	0	0	0	0.01060835	0	0.001197228	0	0.195676716
GSM1539108_treat	0	0.024547092	0	0.133544052	0.146457513	0.011879005	0.0013113	0	0.041019921	0	0.160097102	0.011965666	0.228189668	0.019656014	0	0	0	0.001606577	0	0.025482284	0	0.194243807
GSM1539109_treat	0	0.020494511	0	0.150735306	0.119848157	0.043668909	0	0	0.017808074	0	0.182946894	0	0.248385423	0.025573385	0	0	0	0	0	0.002426214	0	0.188113127
GSM1539110_treat	0.000322597	0.036409636	0	0.188921949	0.157099866	0	0	0	0.060412502	0	0.088813662	0.005286738	0.217290063	0.037386851	0	0	0	0.001900243	0	0.036089279	0	0.170066614
GSM1539111_treat	0.004228866	0.022178334	0	0.168419277	0.230675866	0	0.020436742	0	0.019826186	0	0.14306288	0	0.245649498	0.008911502	0	0	0	0.010623621	0	0.029788532	0	0.096198696
GSM1539112_treat	0	0.010124995	0	0.175152519	0.127393035	0	0	0	0.015973323	0	0.129539932	0.05101069	0.323535469	0.00766752	0	0	0	0.003944655	0	0.001784551	0	0.15387331
GSM1539113_treat	0.002310643	0.027783655	0	0.202107805	0.079178839	0.102427646	0.00931472	0	0	0	0.097262794	0.019255585	0.215103868	0.007867513	0	0	0	0.000552334	0	0.002294401	0	0.234540197
GSM1539114_treat	0	0.03846161	0	0.100263309	0.075395231	0	0.008043695	0	0.020328522	0	0.158242393	0	0.252036266	0.054231121	0	0	0	0	0	0.012456003	0	0.28054185
GSM1539115_treat	0	0.059931035	0	0.110116386	0.251374258	0	0.022563577	0	0.046628562	0	0.135015683	0	0.225456654	0.022542653	0	0	0	0.00046221	0	0.008926568	0	0.116982416
GSM1539116_treat	0	0.021265991	0	0.063198294	0.159120091	0.002415372	0	0	0.041309435	0	0.056873528	0.032417124	0.237717616	0.016317382	0	0	0	0.003423819	0	0.03477068	0	0.331170668
GSM1539117_treat	0	0.037738025	0	0.077203419	0.109423489	0.078788955	0.001858254	0	0.024693874	0	0.062537939	0.03058845	0.334383475	0.054513716	0	0	0	0	0.005798773	0	0	0.18247163
GSM1539118_treat	0.007660106	0.012210376	0	0.157960953	0.206918527	0.00011005	0	0	0.003303656	0	0.109288094	0.01543124	0.234610537	0.028336914	0	0	0	0.00644682	0	0.020215054	0	0.197507672
GSM1539119_con	0	0.016027618	0	0.231756098	0.043798663	0	0.047155091	0	0	0.044867921	0.186052452	0	0.254034128	0.008145498	0	0	0	0.0007277	0.000345582	0	0	0.167089248
GSM1539120_con	0	0.033098586	0	0.088400044	0.01567203	0.230656712	0	0	0	0	0.026491879	0.124099733	0.21191387	0	0	0	0	0.004918645	0.004959929	0	0	0.259788573
GSM1539121_con	0	0.014710234	0	0.344601461	0.002659158	0	0.032050464	0	0	0.074019405	0.10132428	0.052267859	0.186871311	0.01427055	0	0.008393917	0	0.000761753	0	0	0	0.168069608
GSM1539122_con	0	0	0	0.157587025	0.042262542	0.058825476	0.021845836	0	0	0	0.196013928	0.026560043	0.263607339	0.005982454	0	0	0	0.000717373	0	0.005388409	0	0.221209575
GSM1539123_con	0	0.033503735	0	0.036466385	0.163817011	0.112845124	0	0	0	0	0.123981505	0.007598987	0.289622983	0	0	0	0	0.032486595	0	0.046278897	0	0.153398777
GSM1539124_con	0	0.053587255	0	0.038116347	0.096542604	0.025723691	0.027109076	0	0.016484167	0.03623049	0.076713164	0	0.240183865	0.058728912	0	0	0	0.011248083	0	0	0	0.319332347
GSM1539125_con	0	0.019778562	0	0.132067603	0.111229377	0.021089199	0.02609337	0	0	0	0.188900764	0.017180595	0.301930691	0.01649337	0	0	0	0.001429859	0	0.004980042	0	0.158826567
GSM1539126_con	0	0.028943595	0	0.147836935	0.081650958	0	0.024974391	0	0	0	0.082399578	0.0496359	0.335712692	0.010088917	0	0	0	0.005072243	0	0	0	0.233682939
GSM1539127_con	0	0.036890002	0	0.073539846	0.093056472	0.111716998	0	0	0	0.023066222	0.087192586	0.039763051	0.210656751	0.012044662	0	0	0	0.016358597	0	0.020329564	0	0.27538525
GSM1539128_con	0	0.009197277	0	0.067256187	0.032691285	0.115172761	0.014037499	0	0	0	0.141187098	0.04901312	0.241794001	0.006913885	0	0	0	0.00305678	0.002599734	0	0	0.317080373
GSM1539129_con	0	0.020852909	0	0.267053858	0.029503975	0.005120433	0	0	0	0.133867932	0.026124447	0.054133891	0.273218581	0.012109569	0	0	0	0.002044766	0.003348275	0	0	0.172621363
GSM1539130_con	0	0.008601786	0	0.053637812	0.037432051	0.128737161	0.002621242	0	0	0	0.144698843	0.052834932	0.244222604	0.006448632	0	0	0	0.009315712	0	0.004194595	0	0.30725463
