id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GTF2B	-0.269522467145598	7.7339910027933	-11.1024113139905	1.55174555571707e-26	4.00350353375003e-24	49.4069475997661
SMC3	-0.0775736802364797	7.2064178547486	-7.4004377737982	3.81491905376701e-13	4.92124557935945e-11	19.0703026824825
RYBP	0.196839805610377	9.716285174581	7.29999160802838	7.67262045546261e-13	6.59845359169785e-11	18.3868493463984
MED12	0.110958533722801	7.4057822849162	7.12373297098879	2.56523922059683e-12	1.65457929728496e-10	17.2070312107778
STAT6	0.169722369209589	9.02874534497207	7.00981981468906	5.52364955163729e-12	2.40155162112255e-10	16.4578364464257
JUND	0.149709456163439	12.5020121969274	7.00816794782839	5.58500377005243e-12	2.40155162112255e-10	16.4470495619963
SNAPC4	0.1000414427515	7.99294491340782	6.7678703040923	2.7214541227393e-11	1.00305023380963e-09	14.9015727694821
HDAC2	-0.11807325766866	7.63121155586592	-6.52999784430871	1.24659198920944e-10	4.02025916520044e-09	13.4184719097412
MYB	-0.085436744015511	7.11183605027933	-6.33209321643664	4.26903630426858e-10	1.11096469073101e-08	12.2204769910239
SETDB1	0.0885579475101581	8.05328636592179	6.33068624408852	4.30606469275587e-10	1.11096469073101e-08	12.2120777227661
SUMO2	-0.0877516523073965	8.73304760055866	-6.26155543089163	6.56895484921968e-10	1.5407185009988e-08	11.8014405224982
SMARCC2	0.0678931380314536	7.61149532541899	6.24480024385359	7.27264952036864e-10	1.56361964687926e-08	11.7025223997099
STAT2	0.167461032779849	10.2960853631285	6.11985226335509	1.54203097320265e-09	3.06033839297142e-08	10.9723677232955
ARID3A	0.161208522582738	9.3104565698324	6.08158945770885	1.93606812839942e-09	3.56789697947894e-08	10.7514276555425
CBX3	-0.0761736817452183	7.36836381564246	-6.06121592956345	2.18437227665824e-09	3.75712031585217e-08	10.6342947436481
FOXO3	0.113988764137787	8.59199893575419	5.92557773787345	4.83489214436064e-09	7.6698928049964e-08	9.86352864691932
PAF1	0.10271018096015	8.22990095530726	5.91793985237439	5.05380533662553e-09	7.6698928049964e-08	9.82059576334939
NOTCH1	0.14231296067647	9.21828129608939	5.90796787945981	5.35420918294069e-09	7.67436649554832e-08	9.7646184072857
NR1H2	0.0985466075278723	8.17751265083799	5.8674518417244	6.76409058717293e-09	9.18492300784535e-08	9.53806361070537
POU2F1	0.078357916396933	7.2523982527933	5.79312762873287	1.03483821065364e-08	1.33494129174319e-07	9.12614491214808
RXRA	0.143242758287069	10.7822801885475	5.76345430811757	1.22470952519328e-08	1.50464313095174e-07	8.96302426617957
CREBBP	0.108541800259649	8.3256173924581	5.68738823693862	1.87975730127217e-08	2.20444265331009e-07	8.5483608016723
SRF	0.0899540881994287	8.91745258519553	5.65605936076231	2.23933293125339e-08	2.51194737505815e-07	8.3790381621093
E2F3	-0.148163149917101	8.09815003351955	-5.64438058010909	2.38981250921599e-08	2.56904844740719e-07	8.31613676768675
CEBPB	0.15091825579151	12.0486149231844	5.57243314486956	3.55844465803793e-08	3.67231488709515e-07	7.93125569413652
CHD2	-0.0577049936142018	7.15807491480447	-5.53718033443053	4.31795964523346e-08	4.28474457103936e-07	7.74432321827336
STAT5B	0.104332436681501	8.80664868296089	5.4362212223969	7.47052186114763e-08	7.13849866731885e-07	7.21500405012658
TAF1	-0.0306819788426553	6.84481372346369	-5.32067597340563	1.38412757189924e-07	1.27537469125002e-06	6.62022100444813
PIAS1	0.094255613448782	9.34607981005587	5.22990638562203	2.22887076398291e-07	1.98292640381928e-06	6.16125361584966
RARA	0.0432501305579684	7.74510556145251	5.18851722332901	2.76318188505762e-07	2.37633642114955e-06	5.95440072656277
PBX3	-0.0745470638842765	7.82421518994413	-5.01183879023266	6.80086003687823e-07	5.66007061133736e-06	5.08857830600318
POLR2B	-0.0841141768111315	7.81270370251397	-4.94459511762387	9.51378269421603e-07	7.67048729721168e-06	4.76638756576865
SF1	0.060285717086388	7.3363514622905	4.86522748684388	1.40680348204824e-06	1.09986454051044e-05	4.39133728600392
STAT3	0.116700586510891	9.05768782681564	4.81407028827014	1.80496796429592e-06	1.33886842933286e-05	4.1526047967262
SP2	0.0967017939001611	8.16202853351955	4.8127801835695	1.81629438087791e-06	1.33886842933286e-05	4.14661489050718
TRIM28	0.0862159327210712	8.08011705865922	4.7607015338886	2.33522420633726e-06	1.67357734787503e-05	3.90607258175262
EED	-0.0255390003333273	6.81087473044693	-4.73988166523034	2.58031995332507e-06	1.78056915332808e-05	3.81059620308971
CHD8	0.115760780830326	9.22098541759777	4.73648825320018	2.62254371420415e-06	1.78056915332808e-05	3.7950718224068
HSF2	-0.0485452663964985	6.99054801815642	-4.67015790458727	3.59446011922202e-06	2.37787361733149e-05	3.49371788922206
STAT5A	0.0906820222801255	9.44619509217877	4.66225270119754	3.73111936932072e-06	2.40657199321186e-05	3.4580692374976
FOXO1	-0.0831557000780663	7.9712766424581	-4.61315745749837	4.6984115820824e-06	2.95656143457868e-05	3.23794623286462
NFIC	0.0300186933238598	7.01565120251397	4.41377293191892	1.17241842821866e-05	7.10798654193098e-05	2.36659569051608
CTNNB1	0.0224838607317261	7.06467034217877	4.411462603877	1.18466442365516e-05	7.10798654193098e-05	2.35671240785983
RELA	0.0574157897774699	7.39885418715084	4.39068834984025	1.30041358334247e-05	7.62515237505357e-05	2.26806299465135
LMNB1	-0.0855541571537604	7.35411876256983	-4.3713185826775	1.41801797148585e-05	8.12996970318551e-05	2.18576404000475
NFE2	0.130681572783169	11.6239684273743	4.25974132838342	2.31993192532157e-05	0.000130117921028906	1.71841347516901
CBX7	0.0697490303500832	9.00635035893855	4.24407462434199	2.48377406394355e-05	0.000136343342233497	1.6537110755644
ZBTB33	-0.120651695578202	8.36786491480447	-4.23695847346184	2.56178492921706e-05	0.000137695939945417	1.62439671743136
HCFC1	0.0974600141575248	8.62372472346369	4.14816777664952	3.75392474528958e-05	0.000197655629445859	1.2625679301274
CDK9	0.0522312227660633	7.70400175837989	4.12378595936068	4.1641182911192e-05	0.000214868503821751	1.1644875967012
BACH2	-0.0312588420831048	6.93058865083799	-3.96970798017259	7.92210295046154e-05	0.000400765208082172	0.557449116123467
NCOR2	0.0516402698964145	7.79594554608939	3.92615699938072	9.46526502636905e-05	0.000469622764769849	0.389873140374893
RFX2	0.0610960280694455	7.09954463128492	3.85784456552543	0.000124708594831605	0.000606025249113128	0.1305876456351
BRD3	0.0789014252695139	8.66330807122905	3.85051879637502	0.000128420035436532	0.000606025249113128	0.103041131587675
SRC	0.0305920647702305	7.07013836312849	3.84902132413811	0.000129191429074504	0.000606025249113128	0.0974164865139526
MBD3	0.0404989342034776	7.09575705027933	3.84238615676519	0.000132662359149855	0.000611194440368974	0.0725194329260672
